| theta_a_raw | theta_g_raw | theta_a | theta_g | theta_f |

|      -0.002 |      -0.000 |  -0.000 |  -0.000 |  -0.000 |
|       0.007 |      -0.000 |   0.000 |  -0.000 |  -0.000 |
|       0.010 |      -0.001 |   0.000 |  -0.001 |  -0.000 |
|       0.008 |      -0.001 |   0.000 |  -0.001 |  -0.000 |
|       0.001 |      -0.001 |   0.000 |  -0.001 |  -0.001 |
|      -0.004 |      -0.002 |   0.000 |  -0.002 |  -0.001 |
|      -0.005 |      -0.002 |   0.000 |  -0.002 |  -0.002 |
|      -0.001 |      -0.002 |   0.000 |  -0.002 |  -0.002 |
|      -0.011 |      -0.002 |   0.000 |  -0.002 |  -0.002 |
|      -0.007 |      -0.002 |  -0.000 |  -0.002 |  -0.002 |
|      -0.006 |      -0.002 |  -0.000 |  -0.001 |  -0.002 |
|      -0.001 |      -0.001 |  -0.000 |  -0.001 |  -0.001 |
|       0.005 |      -0.001 |  -0.000 |  -0.001 |  -0.001 |
|       0.013 |      -0.001 |   0.000 |  -0.000 |  -0.000 |
|       0.018 |      -0.000 |   0.000 |  -0.000 |   0.000 |
|       0.012 |      -0.001 |   0.001 |  -0.000 |   0.000 |
|       0.004 |      -0.001 |   0.001 |  -0.000 |   0.000 |
|       0.003 |      -0.001 |   0.001 |  -0.001 |   0.000 |
|      -0.011 |      -0.001 |   0.001 |  -0.001 |  -0.000 |
|      -0.015 |      -0.001 |   0.000 |  -0.001 |  -0.000 |
|      -0.019 |      -0.001 |  -0.000 |  -0.001 |  -0.001 |
|      -0.013 |      -0.001 |  -0.000 |  -0.000 |  -0.001 |
|      -0.011 |       0.000 |  -0.001 |   0.000 |  -0.000 |
|      -0.001 |       0.001 |  -0.001 |   0.001 |   0.001 |
|       0.011 |       0.001 |  -0.000 |   0.002 |   0.001 |
|       0.009 |       0.002 |  -0.000 |   0.002 |   0.002 |
|       0.016 |       0.002 |   0.000 |   0.003 |   0.003 |
|       0.014 |       0.003 |   0.000 |   0.003 |   0.003 |
|       0.027 |       0.003 |   0.001 |   0.003 |   0.004 |
|       0.013 |       0.003 |   0.001 |   0.003 |   0.004 |
|      -0.000 |       0.003 |   0.001 |   0.003 |   0.004 |
|      -0.009 |       0.002 |   0.001 |   0.002 |   0.003 |
|      -0.011 |       0.003 |   0.001 |   0.003 |   0.003 |
|      -0.006 |       0.003 |   0.001 |   0.003 |   0.003 |
|      -0.006 |       0.003 |   0.000 |   0.003 |   0.003 |
|       0.001 |       0.003 |   0.000 |   0.003 |   0.003 |
|       0.007 |       0.003 |   0.001 |   0.003 |   0.003 |
|       0.007 |       0.003 |   0.001 |   0.003 |   0.004 |
|       0.005 |       0.003 |   0.001 |   0.003 |   0.004 |
|       0.014 |       0.004 |   0.001 |   0.003 |   0.004 |
|       0.014 |       0.003 |   0.001 |   0.003 |   0.004 |
|       0.009 |       0.003 |   0.001 |   0.003 |   0.004 |
|       0.012 |       0.004 |   0.002 |   0.003 |   0.005 |
|       0.012 |       0.003 |   0.002 |   0.003 |   0.005 |
|       0.005 |       0.003 |   0.002 |   0.003 |   0.005 |
|      -0.004 |       0.003 |   0.002 |   0.002 |   0.004 |
|       0.001 |       0.003 |   0.002 |   0.002 |   0.004 |
|      -0.002 |       0.002 |   0.002 |   0.002 |   0.003 |
|      -0.004 |       0.002 |   0.002 |   0.001 |   0.003 |
|      -0.020 |       0.002 |   0.001 |   0.001 |   0.002 |
|      -0.022 |       0.002 |   0.001 |   0.001 |   0.001 |
|      -0.022 |       0.002 |   0.000 |   0.001 |   0.001 |
|      -0.022 |       0.002 |  -0.000 |   0.001 |   0.001 |
|      -0.012 |       0.003 |  -0.000 |   0.002 |   0.001 |
