| theta_a_raw | theta_g_raw | theta_a | theta_g | theta_f |

|       0.072 |      -0.000 |   0.001 |  -0.000 |   0.001 |
|       0.061 |      -0.000 |   0.003 |  -0.000 |   0.003 |
|       0.054 |      -0.000 |   0.004 |  -0.000 |   0.004 |
|       0.044 |      -0.000 |   0.004 |  -0.000 |   0.004 |
|       0.055 |      -0.000 |   0.005 |  -0.000 |   0.005 |
|       0.059 |      -0.000 |   0.007 |  -0.000 |   0.006 |
|       0.055 |      -0.000 |   0.008 |  -0.000 |   0.007 |
|       0.043 |      -0.000 |   0.008 |  -0.000 |   0.008 |
|       0.052 |      -0.000 |   0.009 |  -0.000 |   0.009 |
|       0.051 |       0.000 |   0.010 |   0.000 |   0.010 |
|       0.047 |       0.000 |   0.011 |   0.000 |   0.011 |
|       0.057 |       0.000 |   0.012 |   0.000 |   0.012 |
|       0.060 |       0.000 |   0.013 |   0.001 |   0.013 |
|       0.055 |       0.001 |   0.013 |   0.001 |   0.014 |
|       0.056 |       0.001 |   0.014 |   0.001 |   0.015 |
|       0.059 |       0.001 |   0.015 |   0.001 |   0.016 |
|       0.062 |       0.001 |   0.016 |   0.001 |   0.017 |
|       0.056 |       0.001 |   0.017 |   0.001 |   0.018 |
|       0.051 |       0.001 |   0.018 |   0.001 |   0.019 |
|       0.063 |       0.001 |   0.019 |   0.001 |   0.020 |
|       0.057 |       0.001 |   0.019 |   0.001 |   0.021 |
|       0.049 |       0.001 |   0.020 |   0.001 |   0.021 |
|       0.051 |       0.001 |   0.020 |   0.001 |   0.022 |
|       0.054 |       0.002 |   0.021 |   0.002 |   0.023 |
|       0.056 |       0.002 |   0.022 |   0.002 |   0.023 |
|       0.050 |       0.002 |   0.022 |   0.002 |   0.024 |
|       0.058 |       0.002 |   0.023 |   0.002 |   0.025 |
|       0.055 |       0.002 |   0.024 |   0.002 |   0.026 |
|       0.047 |       0.003 |   0.024 |   0.002 |   0.026 |
|       0.056 |       0.003 |   0.025 |   0.002 |   0.027 |
|       0.062 |       0.003 |   0.026 |   0.003 |   0.028 |
|       0.056 |       0.003 |   0.026 |   0.003 |   0.029 |
|       0.056 |       0.003 |   0.027 |   0.003 |   0.029 |
|       0.057 |       0.003 |   0.027 |   0.003 |   0.030 |
|       0.051 |       0.003 |   0.028 |   0.003 |   0.031 |
|       0.048 |       0.003 |   0.028 |   0.003 |   0.031 |
|       0.054 |       0.004 |   0.029 |   0.003 |   0.032 |
|       0.056 |       0.004 |   0.029 |   0.003 |   0.032 |
|       0.059 |       0.004 |   0.030 |   0.003 |   0.033 |
|       0.057 |       0.004 |   0.031 |   0.003 |   0.034 |
|       0.050 |       0.004 |   0.031 |   0.003 |   0.034 |
|       0.047 |       0.004 |   0.031 |   0.003 |   0.034 |
|       0.055 |       0.004 |   0.032 |   0.003 |   0.035 |
|       0.050 |       0.005 |   0.032 |   0.003 |   0.035 |
|       0.040 |       0.005 |   0.032 |   0.003 |   0.036 |
|       0.055 |       0.005 |   0.033 |   0.004 |   0.036 |
|       0.060 |       0.005 |   0.033 |   0.004 |   0.037 |
|       0.058 |       0.005 |   0.034 |   0.004 |   0.038 |
|       0.058 |       0.006 |   0.034 |   0.004 |   0.038 |
|       0.057 |       0.006 |   0.035 |   0.004 |   0.039 |
|       0.050 |       0.006 |   0.035 |   0.004 |   0.039 |
|       0.061 |       0.006 |   0.036 |   0.004 |   0.040 |
|       0.062 |       0.006 |   0.036 |   0.004 |   0.040 |
|       0.052 |       0.006 |   0.036 |   0.004 |   0.041 |
|       0.045 |       0.006 |   0.037 |   0.004 |   0.041 |
|       0.058 |       0.007 |   0.037 |   0.004 |   0.041 |
|       0.056 |       0.007 |   0.037 |   0.005 |   0.042 |
|       0.049 |       0.007 |   0.038 |   0.005 |   0.042 |
|       0.055 |       0.007 |   0.038 |   0.005 |   0.043 |
|       0.060 |       0.007 |   0.038 |   0.005 |   0.043 |
|       0.047 |       0.007 |   0.039 |   0.005 |   0.043 |
|       0.057 |       0.008 |   0.039 |   0.005 |   0.044 |
|       0.063 |       0.008 |   0.039 |   0.005 |   0.044 |
|       0.059 |       0.008 |   0.040 |   0.005 |   0.045 |
|       0.060 |       0.008 |   0.040 |   0.005 |   0.045 |
|       0.056 |       0.008 |   0.041 |   0.005 |   0.045 |
|       0.048 |       0.008 |   0.041 |   0.005 |   0.046 |
|       0.050 |       0.008 |   0.041 |   0.005 |   0.046 |
|       0.054 |       0.008 |   0.041 |   0.005 |   0.046 |
|       0.054 |       0.009 |   0.041 |   0.005 |   0.046 |
|       0.049 |       0.009 |   0.042 |   0.005 |   0.047 |
|       0.054 |       0.009 |   0.042 |   0.005 |   0.047 |
|       0.056 |       0.009 |   0.042 |   0.005 |   0.047 |
|       0.051 |       0.009 |   0.042 |   0.005 |   0.047 |
|       0.057 |       0.009 |   0.043 |   0.005 |   0.048 |
|       0.054 |       0.009 |   0.043 |   0.005 |   0.048 |
|       0.050 |       0.010 |   0.043 |   0.005 |   0.048 |
|       0.061 |       0.010 |   0.043 |   0.005 |   0.049 |
|       0.055 |       0.010 |   0.043 |   0.006 |   0.049 |
|       0.057 |       0.010 |   0.044 |   0.006 |   0.050 |
|       0.060 |       0.010 |   0.044 |   0.006 |   0.050 |
|       0.049 |       0.011 |   0.044 |   0.006 |   0.050 |
|       0.051 |       0.011 |   0.044 |   0.006 |   0.050 |
|       0.062 |       0.011 |   0.045 |   0.006 |   0.050 |
|       0.054 |       0.011 |   0.045 |   0.006 |   0.051 |
|       0.060 |       0.011 |   0.045 |   0.006 |   0.051 |
|       0.058 |       0.011 |   0.045 |   0.005 |   0.051 |
|       0.059 |       0.011 |   0.046 |   0.005 |   0.051 |
|       0.049 |       0.011 |   0.046 |   0.005 |   0.051 |
|       0.050 |       0.011 |   0.046 |   0.005 |   0.051 |
|       0.050 |       0.011 |   0.046 |   0.005 |   0.051 |
|       0.055 |       0.011 |   0.046 |   0.005 |   0.051 |
|       0.053 |       0.011 |   0.046 |   0.005 |   0.051 |
|       0.051 |       0.011 |   0.046 |   0.005 |   0.051 |
|       0.051 |       0.011 |   0.046 |   0.005 |   0.051 |
|       0.052 |       0.011 |   0.047 |   0.005 |   0.051 |
|       0.053 |       0.011 |   0.047 |   0.005 |   0.052 |
|       0.054 |       0.012 |   0.047 |   0.005 |   0.052 |
|       0.055 |       0.012 |   0.047 |   0.005 |   0.052 |
|       0.050 |       0.012 |   0.047 |   0.005 |   0.052 |
|       0.046 |       0.012 |   0.047 |   0.006 |   0.053 |
|       0.063 |       0.013 |   0.047 |   0.006 |   0.053 |
|       0.064 |       0.013 |   0.048 |   0.006 |   0.054 |
|       0.053 |       0.013 |   0.048 |   0.006 |   0.054 |
|       0.058 |       0.013 |   0.048 |   0.006 |   0.054 |
|       0.065 |       0.013 |   0.048 |   0.006 |   0.054 |
|       0.059 |       0.013 |   0.049 |   0.006 |   0.054 |
|       0.060 |       0.013 |   0.049 |   0.006 |   0.055 |
|       0.052 |       0.014 |   0.049 |   0.006 |   0.055 |
|       0.053 |       0.014 |   0.049 |   0.006 |   0.055 |
|       0.050 |       0.014 |   0.049 |   0.006 |   0.055 |
|       0.052 |       0.014 |   0.049 |   0.006 |   0.055 |
|       0.053 |       0.014 |   0.049 |   0.006 |   0.055 |
|       0.065 |       0.014 |   0.049 |   0.006 |   0.056 |
|       0.060 |       0.014 |   0.050 |   0.006 |   0.055 |
|       0.054 |       0.014 |   0.050 |   0.006 |   0.055 |
|       0.053 |       0.014 |   0.050 |   0.006 |   0.055 |
|       0.057 |       0.014 |   0.050 |   0.005 |   0.055 |
|       0.047 |       0.014 |   0.050 |   0.005 |   0.055 |
|       0.046 |       0.014 |   0.050 |   0.005 |   0.055 |
|       0.050 |       0.014 |   0.050 |   0.005 |   0.054 |
|       0.047 |       0.014 |   0.050 |   0.004 |   0.054 |
|       0.054 |       0.013 |   0.050 |   0.004 |   0.054 |
|       0.053 |       0.013 |   0.050 |   0.004 |   0.054 |
|       0.055 |       0.014 |   0.050 |   0.004 |   0.054 |
|       0.052 |       0.014 |   0.050 |   0.004 |   0.054 |
|       0.051 |       0.014 |   0.050 |   0.004 |   0.054 |
|       0.050 |       0.014 |   0.050 |   0.004 |   0.054 |
|       0.051 |       0.014 |   0.050 |   0.004 |   0.054 |
|       0.063 |       0.014 |   0.050 |   0.004 |   0.055 |
|       0.060 |       0.014 |   0.050 |   0.004 |   0.055 |
|       0.057 |       0.014 |   0.051 |   0.004 |   0.055 |
|       0.055 |       0.014 |   0.051 |   0.004 |   0.054 |
|       0.048 |       0.014 |   0.051 |   0.003 |   0.054 |
|       0.044 |       0.013 |   0.051 |   0.003 |   0.054 |
|       0.044 |       0.013 |   0.050 |   0.003 |   0.053 |
|       0.052 |       0.013 |   0.050 |   0.003 |   0.053 |
|       0.053 |       0.013 |   0.050 |   0.003 |   0.053 |
|       0.046 |       0.013 |   0.050 |   0.003 |   0.053 |
|       0.041 |       0.013 |   0.050 |   0.003 |   0.053 |
|       0.052 |       0.013 |   0.050 |   0.003 |   0.053 |
|       0.060 |       0.013 |   0.050 |   0.003 |   0.053 |
